1.00E-02,12.5,0.00E+00,
5.00E-02,12.6,0,
0.1,12.55,1.00E-08,
1,12.51,3.30E-07,
2,12.48,8.00E-07,
4.7,12.44,2.40E-06,
8,12.41,5.10E-06,
10,12.4,6.90E-06,
20,12.35,1.60E-05,
50,12.26,4.70E-05,
100,12.18,1.02E-04,
300,12.06,2.80E-04,
600,12.03,3.90E-04,
900,12.068,3.10E-04,
1000,12.1,2.40E-04,
1500,12.32,-3.60E-01,
1600,12.38,-5.40E-01,
1700,12.4,-1.00E-03,
1800,12.5,-1.00E-03,
1820,12.5,-1.00E-03,
1900,12.6,-1.00E-03,
2000,12.7,-1.00E-03,
5000,20.4,-6.00E-03,
8000,-56,0,
10000,-15.56,3.58E-01
